feature_index,feature_name,feature_group,short_definition,exact_formula_or_algorithm,required_graph_inputs,weighting_semantics,directionality_semantics,expected_range_if_defined,missing_case_behavior,numerical_safeguard,supporting_artifact,provenance_status,notes
1,node_count,COUNT,node count,N,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
2,projected_edge_count,COUNT,projected edge count,E,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
3,unique_directed_edge_count,COUNT,unique directed edge count,"|{(u,v)}|",DIRECTED_SIMPLE_TOPOLOGY_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
4,parallel_edge_count,COUNT,parallel edge count,E-U,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
5,parallel_edge_fraction,CONTINUOUS,parallel edge fraction,(E-U)/E if E>0 else 0,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,"[0,1]",EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
6,mean_edge_multiplicity,CONTINUOUS,mean edge multiplicity,E/U if U>0 else 0,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_FINITE,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
7,directed_multigraph_density,CONTINUOUS,directed multigraph density,E/(N*(N-1)) if N>1 else 0,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_FINITE,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
8,directed_simple_density,CONTINUOUS,directed simple density,U/(N*(N-1)) if N>1 else 0,DIRECTED_SIMPLE_TOPOLOGY_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,"[0,1]",EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
9,mean_in_degree,CONTINUOUS,mean in degree,E/N,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_FINITE,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
10,mean_out_degree,CONTINUOUS,mean out degree,E/N,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_FINITE,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
