contract_item,value_or_rule,evidence_category,provenance_status,supporting_artifact,notes
implementation,astropy.timeseries.LombScargle,current implementation plus frozen execution artifacts,PROJECT_VERIFIED,src/spectral/lomb_scargle/lomb_scargle.py; outputs/k2_e2_lomb_scargle/lomb_scargle_execution_manifest.json,No recomputation performed.
inputs,validated time and relative flux; dy=None,frozen configuration and light-curve manifest,EXECUTION_BOUND,outputs/k2_e2_lomb_scargle/lomb_scargle_execution_configuration.json; outputs/k2_e2_photometric_adapter/k2_e2_lightcurve_manifest.json,Unweighted.
frequency interval,0.01 <= f <= 20 d^-1,frozen execution configuration,EXECUTION_BOUND,outputs/k2_e2_lomb_scargle/lomb_scargle_execution_configuration.json,Fixed configured bounds.
grid,autopower; samples_per_peak=5,frozen configuration and grid registries,EXECUTION_BOUND,outputs/k2_e2_lomb_scargle/lomb_scargle_execution_configuration.json; outputs/k2_e2_lomb_scargle/lomb_scargle_frequency_grid_summary_registry.json,Object-specific generated grid persisted.
dominant tie,first frequency-grid occurrence attaining maximum power,frozen execution implementation/result metadata,EXECUTION_BOUND,src/spectral/lomb_scargle/lomb_scargle_execution.py,numpy.argmax_first_occurrence.
model form,y(t)=a cos(2 pi f t)+b sin(2 pi f t)+c,current constructor settings,STRONGLY_CORROBORATED_NOT_EXECUTION_BOUND,outputs/results/stage_22_11_final_public_release_audit/ls_provenance_final_check.csv,Depends on fit_mean=True and nterms=1; do not promote to execution-bound provenance.
normalization,standard,Stage 22.11 final provenance classification,STRONGLY_CORROBORATED_NOT_EXECUTION_BOUND,outputs/results/stage_22_11_final_public_release_audit/ls_provenance_final_check.csv,"Supported by current public/full implementation and records, not serialized in execution-bound frozen config."
fit_mean,True,Stage 22.11 final provenance classification,STRONGLY_CORROBORATED_NOT_EXECUTION_BOUND,outputs/results/stage_22_11_final_public_release_audit/ls_provenance_final_check.csv,Same qualification.
center_data,True,Stage 22.11 final provenance classification,STRONGLY_CORROBORATED_NOT_EXECUTION_BOUND,outputs/results/stage_22_11_final_public_release_audit/ls_provenance_final_check.csv,Same qualification.
nterms,1,Stage 22.11 final provenance classification,STRONGLY_CORROBORATED_NOT_EXECUTION_BOUND,outputs/results/stage_22_11_final_public_release_audit/ls_provenance_final_check.csv,Same qualification.
