feature_index,feature_name,feature_group,short_definition,exact_formula_or_algorithm,required_graph_inputs,weighting_semantics,directionality_semantics,expected_range_if_defined,missing_case_behavior,numerical_safeguard,supporting_artifact,provenance_status,notes
1,node_power_mean,NODE_POWER,node power mean,mean(node power),power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
2,node_power_std,NODE_POWER,node power std,population SD(node power),power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
3,node_power_coefficient_of_variation,NODE_POWER,node power coefficient of variation,SD/mean; 0 if mean=0,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
4,node_power_gini,NODE_POWER,node power gini,Gini(sorted node power); 0 if total=0,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
5,reference_node_power_fraction,NODE_POWER,reference node power fraction,P_ref/sum(P); 0 if total=0,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
6,dominant_node_power_fraction,NODE_POWER,dominant node power fraction,P_dom/sum(P); 0 if total=0,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
7,node_frequency_min,FREQUENCY,node frequency min,min(f),power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
8,node_frequency_max,FREQUENCY,node frequency max,max(f),power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
9,node_frequency_span,FREQUENCY,node frequency span,max(f)-min(f),power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
10,node_frequency_mean,FREQUENCY,node frequency mean,mean(f),power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
