feature_index,feature_name,family,short_definition,exact_formula_or_algorithm,required_inputs,normalization_or_scale,output_type,expected_range_if_defined,missing_case_behavior,numerical_safeguard,deterministic,supporting_artifact,provenance_status,notes
1,maximum_power,Strength,Maximum periodogram power.,max_i P_i,frequency; power,,float,not formally bounded,reject invalid/nonfinite input,none beyond finite validation,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_strength.py,FROZEN_ARTIFACT_VERIFIED,
2,mean_power,Strength,Mean periodogram power.,mean_i P_i,power,,float,not formally bounded,reject invalid/nonfinite input,none beyond finite validation,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_strength.py,FROZEN_ARTIFACT_VERIFIED,
3,integrated_spectral_power,Strength,Trapezoidal integral across the frequency grid.,"trapezoid(P,f)",frequency; power,frequency times source-power unit,float,not formally bounded,reject arrays shorter than two,strictly increasing positive frequency,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_strength.py,FROZEN_ARTIFACT_VERIFIED,
4,robust_spectral_snr,Strength,Maximum excess above median in robust-scale units.,"(max(P)-median(P))/max(1.4826 MAD(P),1e-12)",power,dimensionless,float,nonnegative for ordinary nonnegative spectra,reject invalid/nonfinite input,epsilon=1e-12 denominator floor,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_strength.py,FROZEN_ARTIFACT_VERIFIED,
5,peak_bin_concentration,Strength,Fraction of summed bin power in the strongest bin.,"max(P)/max(sum(P),1e-12)",power,dimensionless,not independently asserted,reject invalid/nonfinite input,epsilon=1e-12 denominator floor,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_strength.py,FROZEN_ARTIFACT_VERIFIED,,
6,has_peaks,Morphology,Indicator that the morphology detector found at least one peak.,int(N_peak >= 1),full periodogram; baseline,boolean-like,integer,0 or 1,0 when no detected peaks,deterministic scipy.find_peaks result,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
7,has_multiple_peaks,Morphology,Indicator that at least two morphology peaks were found.,int(N_peak >= 2),full periodogram; baseline,boolean-like,integer,0 or 1,0 when fewer than two,deterministic scipy.find_peaks result,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
8,peak_count,Morphology,Number of morphology-detector peaks.,N_peak,full periodogram; baseline,count,integer,>=0,0 when none,adaptive thresholds and Rayleigh bin distance,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
9,peak_density,Morphology,Detected morphology peaks per frequency span.,N_peak/(f_max-f_min),frequency; detected peaks,inverse frequency,float,>=0,0 when none,positive frequency span required,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
10,average_peak_width,Morphology,Mean half-prominence width in frequency units.,mean(w_j),full periodogram; detected peaks,frequency,float,>=0,0 when none,scipy.signal.peak_widths rel_height=0.5; frequency interpolation,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
