stage,rule,exact_condition,deterministic_tie_break,supporting_artifact,provenance_status,notes
candidate detection,interior local maximum,For index i in 1..N-2: power[i] > power[i-1] and power[i] >= power[i+1].,Strict-left/non-strict-right resolves a flat two-point top to its left member.,src/spectral/peaks/periodogram_peak_extraction.py,EXECUTION_BOUND,Boundary samples are not ordinary interior maxima.
candidate augmentation,global maximum inclusion,Append frozen Stage 13.3 dominant_index when absent from ordinary local maxima.,"Stage 13.3 dominant uses numpy.argmax, first grid occurrence on a tie.",src/spectral/peaks/periodogram_peak_extraction.py; src/spectral/lomb_scargle/lomb_scargle_execution.py,EXECUTION_BOUND,"Guarantees the global Lomb–Scargle maximum enters the candidate set, including a boundary maximum."
candidate identity,stable candidate identifier,peak_candidate:{observation_id}:{grid_index zero-padded to 6 digits}.,Grid index fixes identity.,src/spectral/peaks/periodogram_peak_extraction.py,EXECUTION_BOUND,Duplicate candidate indices are removed by sorted(set(indices)).
candidate ranking,descending power,"Sort by (-power, frequency, local_maximum_index).","Lower frequency, then lower grid index.",src/spectral/peaks/periodogram_peak_extraction.py,EXECUTION_BOUND,No peak-count cap and no power threshold are applied.
Rayleigh scale,object-specific resolution,T=max(t)-min(t); delta_f_R=1/T.,Not applicable.,src/spectral/peaks/periodogram_peak_extraction.py; outputs/k2_e2_periodogram_peaks/peak_extraction_configuration.json,EXECUTION_BOUND,Cadence diagnostic baseline supplies T.
NMS ordering,dominant-first greedy traversal,"Process the frozen dominant candidate first, then all other candidates in candidate-rank order.",Candidate rank uses the deterministic ranking above.,src/spectral/peaks/periodogram_peak_extraction.py,EXECUTION_BOUND,Dominant-first ordering ensures global-maximum preservation.
NMS suppression,one-Rayleigh minimum separation,Suppress candidate c when the first already retained r satisfies |f_c-f_r| < delta_f_R.,First close retained peak in traversal order is the suppressor.,src/spectral/peaks/periodogram_peak_extraction.py,EXECUTION_BOUND,Equality |delta f|=delta_f_R is retained; multiplier=1.0.
retained identity,stable retained identifier,retained_peak:{observation_id}:{retained sequence zero-padded to 4 digits}.,Greedy traversal order fixes sequence.,src/spectral/peaks/periodogram_peak_extraction.py,EXECUTION_BOUND,Retained rank is one-based traversal order.
few/no ordinary maxima,fallback behavior,The frozen global maximum is still appended and retained; execution fails only if dominant continuity or positive dominant power is invalid.,numpy.argmax first occurrence for dominant ties.,src/spectral/peaks/periodogram_peak_extraction.py,EXECUTION_BOUND,At least one retained peak is therefore required for a successful observation.
FAP role,dominant-only metadata,Attach frozen FAP/level/significance to the dominant retained peak; secondary retained peaks receive NOT_EVALUATED and null FAP fields.,Dominant identity is frozen from Stage 13.3.,src/spectral/peaks/periodogram_peak_extraction.py,EXECUTION_BOUND,FAP does not filter candidates or retained peaks.
sampling-window role,advisory proximity annotation,Compare each retained peak with principal window peak and maximum sidelobe using distance <= delta_f_R.,Both reason codes may be retained in fixed order.,src/spectral/peaks/periodogram_peak_extraction.py,EXECUTION_BOUND,"Alias advisories never remove, rerank, or invalidate retained peaks."
