priority_order,criterion,mathematical_or_algorithmic_definition,preferred_direction,tie_break_role,supporting_artifact,provenance_status,notes
0,candidate set,Provisional harmonic families having a base retained peak and at least one HARMONIC member.,eligible only,gate,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Families without harmonic members are not ranked.
1,dominant-peak membership,int(dominant_member_status).,larger first,primary,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Encoded as negative value in ascending selection tuple.
2,supported harmonic count,Number of accepted harmonic relationships with the family base.,larger first,secondary,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Count may include competing targets at the same order before canonical member-per-order resolution.
3,harmonic support score,supported_harmonic_count + sum(member_power / dominant_power).,larger first,secondary,src/spectral/relationships/frequency_relationship_analysis.py; src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,"Structural score, not a physical probability."
4,median normalized harmonic residual,Median of |observed-predicted|/delta_f_R over family harmonic relationships.,smaller first,secondary,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Resolution-normalized.
5,maximum normalized harmonic residual,Maximum of |observed-predicted|/delta_f_R over family harmonic relationships.,smaller first,secondary,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Resolution-normalized.
6,family alias-advisory participant count,Sum of stored alias-advisory flags in the provisional family record.,smaller first,secondary,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,"Advisory burden is a ranking key, not an automatic veto."
7,base-peak power,Power of the family base retained peak.,larger first,secondary,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Encoded as negative power.
8,base frequency,Frequency of the family base retained peak.,smaller first,stable tie break,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Deterministic organizing preference.
9,base retained rank,One-based retained rank of the base peak.,smaller first,stable tie break,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Rank derives from dominant-first NMS traversal.
10,family identifier,Stable provisional_family:{base_peak_id} string.,lexicographically smaller first,final stable tie break,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Makes selection input-order invariant.
11,reference derivation,Select the retained base peak of the rank-1 family.,rank 1,selection,src/spectral/interpretation/spectral_interpretation_analysis.py; outputs/k2_e2_spectral_interpretation/reference_frequency_selection_registry.json,FROZEN_ARTIFACT_VERIFIED,Role is OPERATIONAL_REFERENCE_FOR_DOWNSTREAM_FEATURE_EXTRACTION; physical_fundamental_confirmed=false.
12,fallback 1,"If no eligible family exists and the frozen dominant peak exists, select the dominant peak.",dominant,fallback,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Status SELECTED_DOMINANT_FALLBACK.
13,fallback 2,"If neither an eligible family nor dominant peak exists, minimize (frequency, retained_rank).",lower first,final fallback,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Status SELECTED_LOWEST_FREQUENCY_FALLBACK.
14,canonical member per harmonic order,"Within selected family/order minimize (normalized residual, absolute residual, -power, -relative power, frequency, retained rank, retained_peak_id).",tuple ascending,member tie break,src/spectral/interpretation/spectral_interpretation_analysis.py,EXECUTION_BOUND,Competing same-order members are preserved with duplicate_harmonic_order_member reason.
