table_number,title,supplementary_section,source_artifacts,values_already_frozen,producible_without_recomputation,formats,basename,provenance_caveat
Table S1,Complete source-product inventory,S1,outputs/stellar_corpus/stellar_corpus_manifest.json | outputs/results/stage_22_13_manuscript_evidence_extraction/manuscript_methods_constants.csv,true,true,csv | json | tex,table_s01_complete_source_product_inventory,Only one source product entered the frozen experiment; incomplete metadata for context products is not inferred.
Table S2,Frozen K2-E2 experimental-source summary,S1,outputs/k2_e2_photometric_adapter/k2_e2_lightcurve_manifest.json | outputs/k2_e2_photometric_adapter/photometric_transformation_registry.json,true,true,csv | json | tex,table_s02_frozen_k2_e2_experimental_source_summary,Source labels are preserved literally; no more specific BJD or Kp calibration claim is made.
Table S3,Frozen 33-object pilot manifest,S1,outputs/k2_e2_photometric_adapter/k2_e2_photometric_transformation_manifest.json | outputs/k2_e2_photometric_adapter/k2_e2_lightcurve_manifest.json,true,true,csv | json | tex,table_s03_frozen_33_object_pilot_manifest,Photometric samples are repeated measurements nested within astronomical objects.
Table S4,Data and corpus provenance qualifications,S1,outputs/results/stage_22_13_manuscript_evidence_extraction/manuscript_open_items.csv | outputs/k2_e2_photometric_adapter/photometric_transformation_registry.json,true,true,csv | json | tex,table_s04_data_and_corpus_provenance_qualifications,Separates execution-bound facts from qualified or unresolved source conventions.
Table S5,Spectral input-validation contract,S2,outputs/k2_e2_lomb_scargle/lomb_scargle_execution_configuration.json | outputs/k2_e2_lomb_scargle/lomb_scargle_execution_audit.json,true,true,csv | json | tex,table_s05_spectral_input_validation_contract,Validation behavior is execution-corroborated; implementation-level clauses remain identified as such.
Table S6,Lomb–Scargle configuration and provenance,S2,outputs/k2_e2_lomb_scargle/lomb_scargle_execution_configuration.json | outputs/k2_e2_lomb_scargle/lomb_scargle_frequency_grid_summary_registry.json,true,true,csv | json | tex,table_s06_lomb_scargle_configuration_and_provenance,"normalization, fit_mean, center_data, and nterms remain strongly corroborated but not execution-bound."
Table S7,Deterministic peak-extraction contract,S2,outputs/k2_e2_periodogram_peaks/peak_extraction_configuration.json | outputs/k2_e2_periodogram_peaks/peak_suppression_registry.json | outputs/k2_e2_periodogram_peaks/dominant_peak_continuity_registry.json,true,true,csv | json | tex,table_s07_deterministic_peak_extraction_contract,Sampling-window matches are advisory and do not remove peaks.
Table S8,Frequency-relation ontology,S2,outputs/k2_e2_frequency_relationships/frequency_relationship_configuration.json,true,true,csv | json | tex,table_s08_frequency_relation_ontology,"Relation predicates are analytical definitions, not confirmed physical coupling."
Table S9,Canonical operational-reference contract,S2,outputs/k2_e2_spectral_interpretation/canonical_harmonic_family_registry.json | outputs/k2_e2_spectral_interpretation/canonical_harmonic_member_registry.json | outputs/k2_e2_spectral_interpretation/canonical_spectral_representation_registry.json,true,true,csv | json | tex,table_s09_canonical_operational_reference_contract,The operational reference is not asserted to be the physical stellar fundamental.
Table S10,Complete ordered PISD v2 feature registry,S3,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json | outputs/k2_e2_pisd_v2/pisd_v2_feature_matrix_manifest.json | outputs/pisd_descriptor_contract/pisd_feature_contract_registry.json,true,true,csv | json | tex,table_s10_complete_ordered_pisd_v2_feature_registry,Formula-level wording follows executed adapters where later prose summaries conflict.
