qualification_id,subsystem,unresolved_or_qualified_item,status,what_is_known,what_is_not_known,scientific_consequence,reproducibility_consequence,manuscript_safe_wording,evidence
L01,DATA,Exact time standard of BJD-2450000,UNRESOLVED,Supplied coordinate and field name retained,Specific BJD time scale,Does not change retained samples,Limits exact temporal convention reconstruction,Use the supplied BJD-2450000 coordinate without a more specific time-scale claim.,S1_data_and_corpus_provenance/table_S4_provenance_qualifications.csv
L02,DATA,Physical/calibration semantics of Kp,UNRESOLVED,Reported magnitude-like quantity transformed object-wise,Absolute/calibrated apparent-magnitude status,Does not change frozen transform,Avoids overclaiming calibration,Treat Kp as the reported magnitude-like quantity.,S1_data_and_corpus_provenance/table_S4_provenance_qualifications.csv
L03,DATA,Detailed Kp_err semantics,PARTIALLY VERIFIED,Retained as metadata; not propagated; LS unweighted,Full uncertainty calibration semantics,No effect on frozen unweighted LS,Formal uncertainty propagation cannot be claimed,Kp_err was retained as source metadata but not propagated.,S1_data_and_corpus_provenance/table_S4_provenance_qualifications.csv
L04,DATA,Non-experimental source bibliography/field reconciliation,PARTIALLY VERIFIED,14-product inventory exists; only one entered experiment,Complete metadata for 13 context products,No effect on frozen K2-E2 experiment,Broader corpus provenance remains incomplete,Non-experimental products provide corpus/development context only.,S1_data_and_corpus_provenance/S1_audit_report.md
L05,SPECTRAL,normalization=standard,STRONGLY_CORROBORATED_NOT_EXECUTION_BOUND,Current implementation and surviving records agree,Independent frozen execution-bound field,Frozen arrays remain authoritative,Do not promise exact constructor replay from compact record alone,Current implementation uses standard normalization; frozen compact provenance does not independently bind it.,S2_spectral_construction/table_S5_spectral_provenance_qualifications.csv
L06,SPECTRAL,fit_mean=True,STRONGLY_CORROBORATED_NOT_EXECUTION_BOUND,Current implementation and surviving records agree,Independent frozen execution-bound field,Same as L05,Same as L05,Current implementation uses fit_mean=True; status is qualified.,S2_spectral_construction/table_S5_spectral_provenance_qualifications.csv
L07,SPECTRAL,center_data=True,STRONGLY_CORROBORATED_NOT_EXECUTION_BOUND,Current implementation and surviving records agree,Independent frozen execution-bound field,Same as L05,Same as L05,Current implementation uses center_data=True; status is qualified.,S2_spectral_construction/table_S5_spectral_provenance_qualifications.csv
L08,SPECTRAL,nterms=1,STRONGLY_CORROBORATED_NOT_EXECUTION_BOUND,Current implementation and surviving records agree,Independent frozen execution-bound field,Same as L05,Same as L05,Current implementation uses nterms=1; status is qualified.,S2_spectral_construction/table_S5_spectral_provenance_qualifications.csv
L09,SPECTRAL,Astropy method=auto backend,UNRESOLVED,method=auto behavior and frozen arrays are known,Resolved computational backend,No effect on verified frozen arrays,May affect bitwise recomputation,Exact backend selected by Astropy was not independently persisted.,S2_spectral_construction/S2_audit_report.md
L10,SPECTRAL,Compact execution-bound Astropy version,PARTIALLY VERIFIED,Public version range is documented,Exact historical compact execution version,Frozen outputs remain valid,Exact bitwise environment replay not established,The exact frozen Astropy version is not independently summarized.,S2_spectral_construction/S2_audit_report.md
L11,SPECTRAL,Minimum-observation threshold serialization,CURRENT_CODE_CORROBORATED,Current constructor default is three,Frozen compact parameter field,All 33 objects passed validation,Reproduction should follow documented current contract with qualification,"Threshold three is current-code corroborated, not independently serialized.",S2_spectral_construction/S2_audit_report.md
L12,PISD,Stage 22.13 simplified/mistaken formula descriptions,PARTIALLY VERIFIED,Executed v2 components and registry/matrix correspondence are authoritative,Interchangeability of Stage 22.13 prose with execution,No PISD value ambiguity after S3 reconstruction,Use S3 exact executed definitions,"Stage 22.13 is publication support, not authoritative formula specification.",S3_pisd_specification/S3_audit_report.md
L13,PISD,Generic uncertainty-vector stability branch,NOT EXERCISED IN FROZEN PILOT,Policy/code path exists; pilot used FIRST_DIFFERENCE_MAD,Frozen empirical behavior of unused branch,None for pilot,Do not generalize pilot stability to formal uncertainty propagation,"Frozen pilot stability used controlled perturbation, not formal uncertainty propagation.",S3_pisd_specification/S3_audit_report.md
L14,GRAPH,Compact Graph-Extended registry formula detail,PROJECT_VERIFIED,Stage 14.4 implementation reconstructs definitions,Self-contained compact formulas in every registry entry,No frozen matrix/order conflict,Implementation is needed for complete methodological replay,Graph-Extended definitions are verified against bound implementation.,S4_spectral_graph_specification/S4_audit_report.md
L15,EXPERIMENT,Exact experiment seed preimage for every scope,PARTIALLY VERIFIED,"Root 42, policy name, and persisted seeds are established",Uniform execution-bound serialization for every scope,No rank/result uncertainty,Prevents overclaiming regeneration contract,Exact serialized seed preimage is qualified by scope.,S5_experimental_design/table_S3_experiment_seed_contract.csv
L16,EXPERIMENT,Generic unused failure fallback,UNRESOLVED,"Frozen run completed 9,450/9,450 with zero failures",Behavior for every unused failure mode,No consequence for completed frozen run,Future reruns must not invent fallback behavior,Generic unused failure fallback is not fully established.,S5_experimental_design/S5_audit_report.md
L17,SOFTWARE,Complete historical environment lock,NOT EXECUTION_BOUND,Public bounded dependencies and selected frozen library versions survive,Exact versions/platform for every stage,Scientific artifacts remain hash-verifiable,Bitwise end-to-end replay is not promised,The release supports bounded methodological reproduction and artifact verification.,pyproject.toml
L18,REPRODUCTION,Turnkey Level 3 orchestration,CONDITIONAL,Public Level 1 and Level 2 are operational,Raw-to-context and full model-grid orchestration,No effect on frozen results,Full recomputation requires data and operational context,Level 3 remains conditional on independently obtained source data and context.,docs/reproducibility.md
L19,SCIENTIFIC INSPECTION,EPIC 60042292 exact target/source identity,QUALIFIED,Experimental mask identifier is EPIC 60042292; CSS J235742.1−015022 is external context,Exact identity equivalence,No effect on ranks or frozen identifier,Keep identifiers distinct,The external identity within the EPIC 60042292 mask remains qualified.,S7_scientific_inspection/S7_audit_report.md
L20,ARCHIVAL,Public URL and archival DOI,MISSING / NOT YET ASSIGNED,Local release candidate and fingerprint exist,Hosted repository URL and archival DOI,No scientific consequence,Publication statements require final archive action,No public repository URL or DOI is claimed.,release_notes/citation_metadata_review.json
